grant_id,provider_name,responses_total,responses_top_2,performance_rating
18-ZZ-034,Volunteers of America of Illinois,43,22,0.0
14-MD-214,Project PLASE Inc.,35,18,0.1
14-NY-259,Volunteers of America-Greater New York Inc.,13,4,0.1
14-ZZ-153,United Way of Central Alabama,23,10,0.1
20-CA-017,The Salvation Army a California Corporation,27,13,0.1
20-ZZ-092,Volunteers of America Colorado Branch Inc.,90,56,0.2
19-CA-009,Vietnam Veterans of California Inc. (Sacramento Veterans Resource),153,101,0.3
20-CO-020,Rocky Mountain Human Services,108,69,0.3
14-FL-181,United Way of Broward County,61,37,0.5
19-CA-014,People Assisting the Homeless (PATH),77,48,0.5
18-CA-176,Volunteers of America of Los Angeles Inc.,31,17,0.7
19-ZZ-324,Changing Homelessness Inc.,72,45,0.7
13-WA-148,YWCA of Seattle - King County - Snohomish County,9,3,0.8
12-FL-028,Jewish Family & Childrens Service Of The Suncoast Inc,17,8,0.9
19-ZZ-278,Veterans Multi-Service Center Inc.,70,44,0.9
12-NY-060,HELP Social Service Corporation,20,10,1.0
15-GA-325,Volunteers of America Southeast Inc.,12,5,1.1
20-TX-072,Caritas of Austin,3,0,1.3
16-ZZ-058,Soldier On Inc.,33,19,1.4
18-TX-292,American GI Forum National Veterans Outreach Program Inc.,93,61,1.4
13-IN-106,Community Action of Northeast Indiana Inc. (dba Brightpoint),13,6,1.9
20-GA-188,Travelers Aid of Metro Atlanta Inc.,47,29,1.9
20-NV-118,The Salvation Army a California Corporation,16,8,2.0
12-OH-064,Mental Health Services for Homeless Persons Inc. d.b.a FrontLine Service,25,14,2.1
14-IL-198,Catholic Charities of the Archdiocese of Chicago,19,10,2.1
14-GA-189,United Way of Greater Atlanta Inc.,51,32,2.2
18-CA-008,United States Veterans Initiative,49,31,2.9
15-IA-192,Hawkeye Area Community Action Program Inc.,20,11,3.0
18-CA-011,WestCare California Inc.,69,46,4.7
18-FL-362,Tampa Crossroads Inc.,35,22,5.4
12-IL-033,Thresholds,7,3,6.0
13-ZZ-134,The Alston Wilkes Society (AWS Alston Wilkes Veterans Home),16,9,6.3
18-KY-379,Volunteers of America Mid-States Inc.,29,18,6.3
14-MI-223,Community Rebuilders,13,7,6.5
14-VA-294,Total Action Against Poverty In Roanoke Valley,10,5,6.5
19-OH-269,Volunteers of America of Greater Ohio,79,54,7.0
14-NJ-242,Catholic Family and Community Service,30,19,7.9
16-NJ-054,Community Hope Inc.,44,29,8.1
20-LA-208,Start Corporation,37,24,8.1
19-FL-025,Purpose Built Families Foundation,169,121,9.7
19-TX-290,Baker Ripley,31,20,9.8
19-ZZ-070,Centerstone of Tennessee Inc.,67,46,9.8
20-IN-451,HVAF of Indiana Inc.,31,20,9.8
12-LA-038,Volunteers of America of Greater New Orleans,18,11,11.3
14-PA-276,Community Action Agency of Delaware County Inc.,18,11,11.3
18-CA-019,Community Catalysts of California,43,29,12.3
13-ZZ-133,Operation Stand Down Rhode Island,29,19,13.0
19-OH-263,Talbert House Inc.,3,1,14.3
S20-NY-600C,Volunteers of America-Greater New York Inc.,3,1,14.3
14-MD-215,New Vision House of Hope Inc.,19,12,14.4
18-WI-080,Center For Veterans Issues Limited,78,55,14.8
19-NC-114,Asheville-Buncombe Community Christian Ministry Inc.,78,55,14.8
14-CA-167,East Oakland Community Project,6,3,15.1
20-TX-450,Family Endeavors Inc.,6,3,15.1
12-MI-045,Southwest Counseling Solutions,30,20,15.6
14-PA-282,Volunteers of America of Pennsylvania Inc.,16,10,15.9
18-MI-383,Volunteers of America Michigan Inc.,16,10,15.9
12-AL-002,Housing First Inc.,13,8,17.7
18-CA-354,United States Veterans Initiative,35,24,19.2
19-CA-173,Vietnam Veterans of San Diego,73,52,19.4
20-VA-144,Volunteers of America Chesapeake,32,22,21.3
18-CA-420,Volunteers of America Southwest California Inc.,7,4,21.9
12-FL-024,Advocate Program Inc.,40,28,22.7
14-MS-231,Mississippi United to End Homelessness Inc.,1,0,23.8
14-CA-170,Knowledge Education for Your Success Inc.,4,2,24.2
14-MD-217,St. James A.M.E. Zion Church-Zion House,4,2,24.2
19-TX-140,The Salvation Army a Georgia Corporation,4,2,24.2
19-CA-010,Homefirst Services Of Santa Clara County,11,7,25.4
14-CT-178,Columbus House Inc.,22,15,25.5
13-IL-104,The Salvation Army an Illinois Corporation,26,18,26.5
20-AZ-159,United States Veterans Initiative,26,18,26.5
20-OK-065,Community Service Council of Greater Tulsa Inc.,30,21,27.2
12-CT-021,Community Renewal Team Inc.,15,10,27.5
13-IL-105,Heartland Human Care Services Inc.,15,10,27.5
18-CA-171,Lighthouse Treatment Center,15,10,27.5
20-LA-207,Elle Foundation,15,10,27.5
14-ZZ-313,Housing Counseling Services Inc.,42,30,28.6
18-CA-006,Volunteers of America of Los Angeles Inc.,42,30,28.6
13-OR-126,Central Oregon Veterans Outreach,8,5,29.2
20-ZZ-301,Goodwill Industries of The Inland Northwest,78,57,29.8
15-OH-333,Lutheran Social Services of Central Ohio,12,8,31.5
20-NV-056,United States Veterans Initiative,79,58,32.1
12-MA-040,Volunteers of America of Massachusetts Inc.,16,11,32.7
20-MA-211,Vietnam Veterans Workshop Inc.,16,11,32.7
