fiscal_year,grant_id,provider_name,provider_name_latest,responses_total,q1_1,q1_2,q1_3,q1_4,q1_5,top_2_count,top_2_pct
2022,12-AK-001,,Catholic Social Services,2,0,0,0,0,2,2,100.0
2022,12-AL-002,,Housing First Inc,2,0,0,0,1,1,2,100.0
2022,12-CA-013,,Goodwill of Silicon Valley (dba Goodwill Industries of Santa Clara County),6,1,0,0,0,5,5,83.3
2022,12-CA-016,,Shelter Inc of Contra Costa County,2,0,0,0,1,1,2,100.0
2022,12-CA-018,,Volunteers of America of Greater Sacramento and Northern Nevada Inc,19,1,1,1,7,9,16,84.2
2022,12-CT-021,,Community Renewal Team Inc,6,0,0,0,2,4,6,100.0
2022,12-FL-024,,Advocate Program Inc,29,8,3,1,3,14,17,58.6
2022,12-FL-028,,Jewish Family & Childrens Service Of The Suncoast Inc,6,0,1,0,1,4,5,83.3
2022,12-GA-029,,Central Savannah River Area Economic Opportunity Authority Inc (CSRA EOA),23,0,1,7,4,11,15,65.2
2022,12-ID-032,,El-Ada Inc,14,1,0,2,5,6,11,78.6
2022,12-IL-033,,Thresholds,8,2,0,0,1,5,6,75.0
2022,12-LA-038,,Volunteers of America of Greater New Orleans,17,2,1,0,4,10,14,82.4
2022,12-LA-039,,Wellspring Alliance for Families Inc.,1,0,0,0,0,1,1,100.0
2022,12-MA-040,,Volunteers of America of Massachusetts Inc,8,0,0,0,3,5,8,100.0
2022,12-MD-042,,Alliance Inc,93,7,5,20,14,47,61,65.6
2022,12-ME-043,,Preble Street,16,0,1,2,0,13,13,81.3
2022,12-MI-044,,Wayne Metropolitan Community Action Agency,2,0,0,1,1,0,1,50.0
2022,12-MI-045,,Southwest Counseling Solutions,22,0,4,1,8,9,17,77.3
2022,12-NC-049,,United Way of Forsyth County Inc.,3,0,0,0,1,2,3,100.0
2022,12-NC-050,,Passage Home Inc,5,0,0,1,1,3,4,80.0
2022,12-ND-051,,Community Action Partnership of North Dakota,20,1,0,1,1,17,18,90.0
2022,12-NJ-053,,Catholic Charities Dioceses of Camden Inc,27,0,0,2,6,19,25,92.6
2022,12-NM-055,,Goodwill Industries of New Mexico,25,3,0,4,2,16,18,72.0
2022,12-NY-060,,HELP Social Service Corporation,17,2,1,0,6,8,14,82.4
2022,12-NY-063,,Westchester Community Opportunity Program Inc. (WestCOP),9,1,0,0,2,6,8,88.9
2022,12-OH-064,,Mental Health Services for Homeless Persons Inc  dba  FrontLine Service ,34,2,0,3,7,22,29,85.3
2022,12-TX-071,,Families in Crisis Inc,12,0,1,1,3,7,10,83.3
2022,12-VA-077,,Virginia Supportive Housing,2,0,0,0,0,2,2,100.0
2022,12-ZZ-031,,Humility of Mary Shelter Inc,5,1,1,2,0,1,1,20.0
2022,12-ZZ-041,,Veterans Inc,17,1,0,2,1,13,14,82.4
2022,13-CA-090,,California Veterans Assistance Foundation Inc,6,1,0,1,0,4,4,66.7
2022,13-CT-093,,The Workplace Inc,16,2,2,4,1,7,8,50.0
2022,13-FL-096,,Faith Hope Love Charity Inc,21,1,0,4,2,14,16,76.2
2022,13-IA-103,,Primary Health Care Inc,3,0,0,1,0,2,2,66.7
2022,13-IL-104,,The Salvation Army an Illinois Corporation,25,8,2,2,5,8,13,52.0
2022,13-IL-105,,Heartland Human Care Services Inc,9,1,0,2,1,5,6,66.7
2022,13-IN-106,,Community Action of Northeast Indiana Inc (dba Brightpoint) ,10,0,0,0,6,4,10,100.0
2022,13-MD-107,,Three Oaks Homeless Shelter Inc,4,0,0,1,1,2,3,75.0
2022,13-MI-108,,Northwest Michigan Community Action Agency Inc,3,0,0,0,1,2,3,100.0
2022,13-MO-110,,Catholic Charities of Kansas City - St Joseph Inc,4,0,0,1,1,2,3,75.0
2022,13-NH-115,,Harbor Homes Inc,6,1,0,0,1,4,5,83.3
2022,13-NV-117,,Vietnam Veterans of California Inc (Sacramento Veterans Resource),48,5,8,3,9,23,32,66.7
2022,13-NY-119,,Catholic Charities of the Roman Catholic Diocese of Syracuse NY,9,0,0,1,0,8,8,88.9
2022,13-NY-121,,Soldier On of Delaware Inc,14,1,2,3,3,5,8,57.1
2022,13-OH-124,,Maumee Valley Guidance Center Inc.,3,0,1,0,1,1,2,66.7
2022,13-OR-125,,Community Action Team Inc,5,0,1,0,0,4,4,80.0
2022,13-OR-126,,Central Oregon Veterans Outreach,6,0,0,0,1,5,6,100.0
2022,13-PA-129,,Veterans Leadership Program of Western Pennsylvania Inc,54,2,1,4,16,31,47,87.0
2022,13-TN-139,,West Tennessee Legal Services Inc.,7,0,0,0,3,4,7,100.0
2022,13-WA-148,,YWCA of Seattle - King County - Snohomish County,7,1,0,2,1,3,4,57.1
2022,13-WI-151,,Community Action Coalition for South Central Wisconsin Inc.,9,0,1,0,3,5,8,88.9
2022,13-ZZ-133,,Operation Stand Down Rhode Island,26,2,1,3,5,15,20,76.9
2022,13-ZZ-134,,The Alston Wilkes Society (AWS Alston Wilkes Veterans Home),14,0,1,4,2,7,9,64.3
2022,13-ZZ-145,,University of Vermont and State Agricultural College,16,0,0,1,2,13,15,93.8
2022,14-AZ-157,,National Community Health Partners,65,2,1,6,17,39,56,86.2
2022,14-AZ-160,,Catholic Charities Community Services Inc,11,2,1,0,1,7,8,72.7
2022,14-CA-163,,Carrillo Counseling Services Inc (DBA New Beginnings),18,1,0,0,3,14,17,94.4
2022,14-CA-167,,East Oakland Community Project,1,0,0,0,0,1,1,100.0
2022,14-CA-170,,Knowledge Education for Your Success Inc,4,1,0,1,1,1,2,50.0
2022,14-CT-178,,Columbus House Inc,4,0,0,1,0,3,3,75.0
2022,14-FL-179,,Big Bend Homeless Coalition Inc,10,2,0,1,4,3,7,70.0
2022,14-FL-181,,United Way of Broward County,40,4,3,5,8,20,28,70.0
2022,14-FL-184,,Meridian Behavioral Healthcare Inc,16,3,0,0,3,10,13,81.3
2022,14-FL-322,,Treasure Coast Homeless Services Council Inc,2,0,0,0,0,2,2,100.0
2022,14-IA-191,,Family Alliance For Veterans of America Inc,7,0,1,1,1,4,5,71.4
2022,14-IL-194,,Featherfist Inc,23,2,1,2,7,11,18,78.3
2022,14-IL-196,,Midwest Shelter for Homeless Veterans Inc,6,0,0,0,1,5,6,100.0
2022,14-IL-197,,Chestnut Health Systems Inc,14,2,1,1,1,9,10,71.4
2022,14-IL-198,,Catholic Charities of the Archdiocese of Chicago,17,3,1,0,5,8,13,76.5
2022,14-IN-199,,Lafayette Transitional Housing Center Inc,4,0,0,0,0,4,4,100.0
2022,14-IN-200,,InteCare Inc,19,3,2,0,3,11,14,73.7
2022,14-KS-322,,Catholic Charities Inc. (Diocese of Wichita),6,1,1,0,3,1,4,66.7
2022,14-LA-205,,Hope Center Inc.,9,1,1,1,4,2,6,66.7
2022,14-MA-209,,Veterans Northeast Outreach Center Inc,5,0,0,0,1,4,5,100.0
2022,14-MD-214,,Project PLASE Inc,14,1,1,1,1,10,11,78.6
2022,14-MD-215,,New Vision House of Hope Inc,10,0,0,1,1,8,9,90.0
2022,14-MD-216,,Diakonia Inc.,10,3,1,0,2,4,6,60.0
2022,14-MD-217,,St. James A.M.E. Zion Church-Zion House,2,0,0,0,1,1,2,100.0
2022,14-MI-220,,Community Action Agency,10,0,0,1,1,8,9,90.0
2022,14-MI-223,,Community Rebuilders,11,1,0,4,3,3,6,54.5
2022,14-MS-231,,Mississippi United to End Homelessness Inc.,1,0,0,0,1,0,1,100.0
2022,14-MS-232,,Hancock Resource Center (HRC),2,0,0,1,0,1,1,50.0
2022,14-MS-234,,Catholic Charities Inc  (Diocese of Jackson),4,0,0,1,2,1,3,75.0
2022,14-NE-238,,Northeast Nebraska Community Action Partnership,1,0,0,0,1,0,1,100.0
2022,14-NJ-242,,Catholic Family and Community Service,15,1,0,2,2,10,12,80.0
2022,14-NM-246,,New Mexico Veterans Integration Centers,14,0,0,2,1,11,12,85.7
2022,14-NM-247,,Mesilla Valley Community of Hope,1,0,0,0,1,0,1,100.0
2022,14-NY-251,,Veterans and Community Housing Coalition ,16,0,0,0,2,14,16,100.0
2022,14-NY-254,,Economic Opportunity Council of Suffolk Inc,70,1,0,15,23,31,54,77.1
2022,14-NY-256,,Albany Housing Coalition Inc,2,0,0,0,0,2,2,100.0
2022,14-NY-259,,Volunteers of America-Greater New York Inc,8,2,1,1,0,4,4,50.0
2022,14-OH-261,,Licking County Coalition for Housing,2,0,0,1,1,0,1,50.0
2022,14-OH-262,,Family & Community Services Inc,14,0,0,2,4,8,12,85.7
2022,14-OH-264,,Community Action Agency of Columbiana County Inc,2,0,0,0,0,2,2,100.0
2022,14-OH-265,,Community Action Program Corporation of Washington-Morgan Counties Ohio,15,1,2,1,1,10,11,73.3
2022,14-OH-266,,Faith Mission Inc.,4,0,0,0,1,3,4,100.0
2022,14-OH-267,,Community Support Services Inc,8,0,0,0,1,7,8,100.0
2022,14-OK-270,,KI BOIS Community Action Foundation Inc,29,1,1,5,4,18,22,75.9
2022,14-OK-271,,Goodwill Industries of Central Oklahoma Inc,41,10,3,1,5,22,27,65.9
2022,14-PA-273,,YWCA of Greater Harrisburg,11,0,0,0,4,7,11,100.0
2022,14-PA-274,,Utility Emergency Services Fund,24,0,0,3,4,17,21,87.5
2022,14-PA-276,,Community Action Agency of Delaware County Inc.,4,1,0,0,1,2,3,75.0
2022,14-PA-277,,Lawrence County Social Services Inc.,12,0,1,1,0,10,10,83.3
2022,14-PA-280,,Soldier On of Delaware Inc.,15,2,0,2,2,9,11,73.3
2022,14-PA-281,,Catholic Charities of the Diocese of Allentown,7,0,0,1,0,6,6,85.7
2022,14-PA-282,,Volunteers of America of Pennsylvania Inc.,1,0,0,0,0,1,1,100.0
2022,14-TN-284,,Volunteer Behavioral Health Care System,4,0,0,1,2,1,3,75.0
2022,14-TN-285,,Operation Stand Down Tennessee,35,0,2,2,7,24,31,88.6
2022,14-TN-287,,Catholic Charities Inc (dba Catholic Charities of the Diocese of Memphis Inc),13,0,0,5,3,5,8,61.5
2022,14-VA-294,,Total Action Against Poverty In Roanoke Valley,10,0,0,1,2,7,9,90.0
2022,14-VA-296,,Hampton Roads Community Action Program Inc.,3,0,0,0,2,1,3,100.0
2022,14-VA-297,,Virginia Beach Community Development Corporation,20,2,1,1,0,16,16,80.0
2022,14-VA-298,,STOP Incorporated,6,1,0,2,1,2,3,50.0
2022,14-WI-302,,Indianhead Community Action Agency,5,0,0,1,0,4,4,80.0
2022,14-WV-303,,The Greater Wheeling Coalition for the Homeless Inc.,2,0,0,0,1,1,2,100.0
2022,14-WV-304,,Helping Heroes Inc.,3,0,0,0,1,2,3,100.0
2022,14-WV-305,,West Virginia Community Action Partnerships Inc,19,0,0,3,5,11,16,84.2
2022,14-ZZ-153,,United Way of Central Alabama,19,2,1,1,2,13,15,78.9
2022,14-ZZ-260,,St. Vincent de Paul Social Services Inc.,18,2,2,4,3,7,10,55.6
2022,14-ZZ-308,,Transitional Living Services Inc,7,0,0,2,1,4,5,71.4
2022,14-ZZ-313,,Housing Counseling Services Inc,38,6,3,3,7,19,26,68.4
2022,14-ZZ-318,,Operation Renewed Hope,12,0,0,1,6,5,11,91.7
2022,15-GA-325,,Volunteers of America Southeast Inc,27,1,1,4,7,14,21,77.8
2022,15-GU-326,,WestCare Pacific Islands Inc,10,0,0,2,1,7,8,80.0
2022,15-IA-192,,Hawkeye Area Community Action Program Inc,10,0,0,0,2,8,10,100.0
2022,15-IN-201,,Volunteers of America of Indiana Inc,19,0,0,0,3,16,19,100.0
2022,15-MI-328,,Alger Marquette Community Action Board,8,0,0,1,1,6,7,87.5
2022,15-MO-330,,Catholic Charities of Southern Missouri Inc,6,0,0,0,1,5,6,100.0
2022,15-OH-333,,Lutheran Social Services of Central Ohio,2,0,0,0,1,1,2,100.0
2022,15-PA-068,,Commission on Economic Opportunity,14,0,0,0,3,11,14,100.0
2022,15-PA-334,,Veterans Multi-Service Center Inc.,12,1,0,0,2,9,11,91.7
2022,15-UT-336,,The Road Home,16,0,0,2,4,10,14,87.5
2022,16-MO-048,,St Patrick Center,44,1,0,4,11,28,39,88.6
2022,16-NJ-054,,Community Hope Inc,50,8,3,2,7,30,37,74.0
2022,16-ZZ-037,,Volunteers of America Mid-States Inc,29,1,3,7,6,12,18,62.1
2022,16-ZZ-058,,Soldier On Inc,21,0,0,5,3,13,16,76.2
2022,17-NE-052,,Central Nebraska Community Services Inc.,6,0,0,1,1,4,5,83.3
2022,18-CA-006,,Volunteers of America of Los Angeles Inc,22,3,2,1,3,13,16,72.7
2022,18-CA-008,,United States Veterans Initiative,21,2,3,3,4,9,13,61.9
2022,18-CA-011,,WestCare California Inc,34,1,2,2,6,23,29,85.3
2022,18-CA-171,,Lighthouse Treatment Center,15,0,0,3,2,10,12,80.0
2022,18-CA-176,,Volunteers of America of Los Angeles Inc.,24,5,5,1,2,11,13,54.2
2022,18-CA-354,,United States Veterans Initiative,32,2,0,1,1,28,29,90.6
2022,18-CA-358,,Community Action Partnership of San Luis Obispo County Inc,11,1,1,2,1,6,7,63.6
2022,18-FL-023,,Homeless Services Network of Central Florida Inc,37,6,3,5,6,17,23,62.2
2022,18-FL-187,,Volunteers of America of Florida Inc,24,1,1,3,2,17,19,79.2
2022,18-FL-362,,Tampa Crossroads Inc,6,0,1,2,2,1,3,50.0
2022,18-HI-190,,United States Veterans Initiative,21,5,3,1,3,9,12,57.1
2022,18-HI-374,,Catholic Charities Hawaii,3,0,0,0,1,2,3,100.0
2022,18-KY-379,,Volunteers of America Mid-States Inc,2,0,0,0,2,0,2,100.0
2022,18-NC-387,,Homeward Bound of Western North Carolina Inc,6,0,1,1,1,3,4,66.7
2022,18-OR-066,,St Vincent de Paul Society of Lane County Inc,20,2,0,1,4,13,17,85.0
2022,18-PR-132,,Casa del Peregrino Aguadilla Inc.,5,0,0,1,0,4,4,80.0
2022,18-SC-069,,One-Eighty Place ,17,2,1,3,2,9,11,64.7
2022,18-TX-404,,Front Steps Inc.,7,2,2,0,1,2,3,42.9
2022,18-WI-080,,Center For Veterans Issues Limited,33,0,1,4,7,21,28,84.8
2022,18-ZZ-034,,Volunteers of America of Illinois,28,1,0,4,7,16,23,82.1
2022,18-ZZ-036,,The Salvation Army an Illinois Corporation,5,1,0,0,1,3,4,80.0
2022,18-ZZ-239,,Blue Valley Community Action Inc,27,4,1,2,7,13,20,74.1
2022,18-ZZ-386,,Restart Inc,21,1,0,1,4,15,19,90.5
2022,19-AZ-004,,Primavera Foundation,19,3,2,1,4,9,13,68.4
2022,19-AZ-436,,Community Bridges Inc,16,1,0,3,2,10,12,75.0
2022,19-CA-005,,Mental Health America of Los Angeles,48,4,2,9,9,24,33,68.8
2022,19-CA-009,,Vietnam Veterans of California Inc (Sacramento Veterans Resource),110,14,5,17,24,50,74,67.3
2022,19-CA-010,,Homefirst Services Of Santa Clara County,8,0,1,0,2,5,7,87.5
2022,19-CA-014,,People Assisting the Homeless (PATH),2,0,0,1,0,1,1,50.0
2022,19-CA-173,,Vietnam Veterans of San Diego,30,9,8,2,5,6,11,36.7
2022,19-FL-025,,Purpose Built Families Foundation,119,10,5,9,21,74,95,79.8
2022,19-MN-046,,Minnesota Assistance Council for Veterans,60,6,0,14,14,26,40,66.7
2022,19-MO-229,,Phoenix Programs Inc,3,0,0,0,1,2,3,100.0
2022,19-MS-111,,Region XII Commission on Mental Health & Retardation (dba Pine Belt Mental Health),16,3,0,2,5,6,11,68.8
2022,19-NC-114,,Asheville-Buncombe Community Christian Ministry Inc,9,0,1,2,1,5,6,66.7
2022,19-OH-269,,Volunteers of America of Greater Ohio,24,0,3,4,9,8,17,70.8
2022,19-OR-128,,Access,5,1,0,1,1,2,3,60.0
2022,19-TX-140,,The Salvation Army a Georgia Corporation,9,0,1,2,2,4,6,66.7
2022,19-TX-288,,United States Veterans Initiative,3,0,0,0,0,3,3,100.0
2022,19-WA-078,,Community Psychiatric Clinic Inc,18,0,0,3,4,11,15,83.3
2022,19-WA-079,,Opportunity Council,11,2,1,1,2,5,7,63.6
2022,19-ZZ-070,,Centerstone of Tennessee Inc,32,3,1,3,2,23,25,78.1
2022,19-ZZ-094,,Friendship Place,30,2,2,1,10,15,25,83.3
2022,19-ZZ-127,,Transition Projects Inc,30,5,0,1,5,19,24,80.0
2022,19-ZZ-263,,Talbert House,9,0,0,1,2,6,8,88.9
2022,19-ZZ-317,,Homeless Veterans Fellowship,19,2,0,0,2,15,17,89.5
2022,19-ZZ-324,,Changing Homelessness Inc,46,8,5,6,12,15,27,58.7
2022,20-AK-152,,Fairbanks Rescue Mission Inc.,11,0,0,1,1,9,10,90.9
2022,20-AL-439,,Volunteers of America Southeast Inc,3,0,0,1,1,1,2,66.7
2022,20-AR-086,,St Francis House Inc,28,1,2,4,3,18,21,75.0
2022,20-AZ-159,,United States Veterans Initiative,29,4,2,3,3,17,20,69.0
2022,20-CA-017,,The Salvation Army a California Corporation,14,0,1,2,4,7,11,78.6
2022,20-CA-437,,Berkeley Food and Housing Project,44,5,3,11,8,17,25,56.8
2022,20-CA-440,,People Assisting the Homeless,8,2,1,2,1,2,3,37.5
2022,20-CA-441,,1736 Family Crisis Center,10,0,1,0,2,7,9,90.0
2022,20-CO-020,,Rocky Mountain Human Services,77,6,6,18,14,33,47,61.0
2022,20-FL-099,,Society of St Vincent de Paul South Pinellas Inc,42,2,1,3,10,26,36,85.7
2022,20-GA-188,,Travelers Aid of Metro Atlanta Inc  ,23,5,4,3,2,9,11,47.8
2022,20-GA-369,,Project Community Connections Inc,27,10,3,3,5,6,11,40.7
2022,20-IN-442,,Northwest Indiana Community Action Corp.,3,0,0,0,2,1,3,100.0
2022,20-IN-451,,HVAF of Indiana Inc,24,2,1,1,4,16,20,83.3
2022,20-KY-204,,Kentucky River Foothills Development Council Inc,11,0,0,1,3,7,10,90.9
2022,20-LA-207,,Elle Foundation,6,0,1,1,1,3,4,66.7
2022,20-LA-208,,Start Corporation,24,2,0,2,3,17,20,83.3
2022,20-MA-211,,Vietnam Veterans Workshop Inc.,22,0,1,6,3,12,15,68.2
2022,20-MI-221,,Oakland Livingston Human Services Agency,8,0,0,0,1,7,8,100.0
2022,20-MI-222,,Mid Michigan Community Action Agency Inc.,12,0,0,3,2,7,9,75.0
2022,20-MI-226,,Volunteers of America Michigan Inc,28,1,2,6,6,13,19,67.9
2022,20-NC-444,,Catholic Charities Diocese Of Charlotte,5,1,0,1,1,2,3,60.0
2022,20-NV-056,,United States Veterans Initiative,48,3,3,7,10,25,35,72.9
2022,20-NV-118,,The Salvation Army a California Corporation,29,4,1,2,3,19,22,75.9
2022,20-NY-062,,Services for the UnderServed Inc,15,2,0,0,5,8,13,86.7
2022,20-NY-250,,The Jericho Project,42,2,3,9,8,20,28,66.7
2022,20-NY-446,,Veterans One-stop Center of WNY Inc,13,0,0,2,5,6,11,84.6
2022,20-OK-065,,Community Service Council of Greater Tulsa Inc,50,4,4,6,11,25,36,72.0
2022,20-OR-272,,Easter Seals Oregon,20,1,0,1,4,14,18,90.0
2022,20-OR-430,,Community Action Partnership of Oregon,14,3,2,0,0,9,9,64.3
2022,20-OR-447,,Columbiacare Services Inc.,3,0,0,0,0,3,3,100.0
2022,20-PA-130,,Opportunity House,26,1,1,4,5,15,20,76.9
2022,20-SC-402,,Eastern Carolina Homelessness Organization Inc,12,3,0,1,4,4,8,66.7
2022,20-SD-136,,Cornerstone Rescue Mission,28,2,0,3,4,19,23,82.1
2022,20-TX-141,,West Central Texas Regional Foundation,20,0,3,1,6,10,16,80.0
2022,20-TX-448,,Career And Recovery Resources Inc,23,0,1,4,6,12,18,78.3
2022,20-VA-144,,Volunteers of America Chesapeake,29,2,1,4,2,20,22,75.9
2022,20-WA-146,,Catholic Community Services of Western Washington,12,1,2,1,1,7,8,66.7
2022,20-WA-338,,HopeSource,23,2,1,2,2,16,18,78.3
2022,20-ZZ-026,,Northwest Florida Comprehensive Services For Children Inc,176,6,6,20,35,109,144,81.8
2022,20-ZZ-092,,Volunteers of America Colorado Branch Inc,49,5,5,7,8,24,32,65.3
2022,20-ZZ-113,,Volunteers of America Northern Rockies,30,2,2,3,7,16,23,76.7
2022,20-ZZ-147,,Blue Mountain Action Council,11,0,1,0,3,7,10,90.9
2022,20-ZZ-158,,Vietnam Veterans of California Inc (Sacramento Veterans Resource),26,1,3,4,5,13,18,69.2
2022,20-ZZ-301,,Goodwill Industries of The Inland Northwest,61,4,2,7,15,33,48,78.7
2022,S20-NY-600B,,Services for the UnderServed Inc,1,0,1,0,0,0,0,0.0
2022,S20-WA-500,,Catholic Community Services Of Western Washington,9,0,0,2,3,4,7,77.8
2020,12-AK-001,Catholic Social Services,Catholic Social Services,21,2,1,2,9,7,16,76.2
2020,12-AL-002,Housing First Inc,Housing First Inc,13,1,1,3,2,6,8,61.5
2020,12-CA-013,Goodwill of Silicon Valley (dba Goodwill Industries of Santa Clara County),Goodwill of Silicon Valley (dba Goodwill Industries of Santa Clara County),31,0,1,1,8,21,29,93.5
2020,12-CA-016,Shelter Inc of Contra Costa County,Shelter Inc of Contra Costa County,19,1,2,2,4,10,14,73.7
2020,12-CA-018,Volunteers of America of Greater Sacramento and Northern Nevada Inc,Volunteers of America of Greater Sacramento and Northern Nevada Inc,38,4,1,4,9,20,29,76.3
2020,12-CT-021,Community Renewal Team Inc,Community Renewal Team Inc,15,2,1,2,8,2,10,66.7
2020,12-FL-024,Advocate Program Inc,Advocate Program Inc,40,2,1,9,7,21,28,70.0
2020,12-FL-028,Jewish Family & Childrens Service Of The Suncoast Inc,Jewish Family & Childrens Service Of The Suncoast Inc,17,2,2,5,4,4,8,47.1
2020,12-GA-029,Central Savannah River Area Economic Opportunity Authority Inc (CSRA EOA),Central Savannah River Area Economic Opportunity Authority Inc (CSRA EOA),13,0,0,3,3,7,10,76.9
2020,12-ID-032,El-Ada Inc,El-Ada Inc,18,1,0,1,6,10,16,88.9
2020,12-IL-033,Thresholds,Thresholds,7,0,2,2,3,0,3,42.9
2020,12-LA-038,Volunteers of America of Greater New Orleans,Volunteers of America of Greater New Orleans,18,3,2,2,3,8,11,61.1
2020,12-LA-039,Wellspring Alliance for Families Inc.,Wellspring Alliance for Families Inc.,11,0,0,2,2,7,9,81.8
2020,12-MA-040,Volunteers of America of Massachusetts Inc,Volunteers of America of Massachusetts Inc,16,2,0,3,6,5,11,68.8
2020,12-MD-042,Alliance Inc,Alliance Inc,73,4,6,7,15,41,56,76.7
2020,12-ME-043,Preble Street,Preble Street,27,2,1,2,9,13,22,81.5
2020,12-MI-044,Wayne Metropolitan Community Action Agency,Wayne Metropolitan Community Action Agency,1,0,0,0,0,1,1,100.0
2020,12-MI-045,Southwest Counseling Solutions,Southwest Counseling Solutions,30,4,1,5,8,12,20,66.7
2020,12-NC-049,United Way of Forsyth County Inc.,United Way of Forsyth County Inc.,5,0,0,0,2,3,5,100.0
2020,12-NC-050,Passage Home Inc,Passage Home Inc,5,0,0,1,2,2,4,80.0
2020,12-ND-051,Community Action Partnership of North Dakota,Community Action Partnership of North Dakota,32,1,0,5,6,20,26,81.3
2020,12-NJ-053,Catholic Charities Dioceses of Camden Inc,Catholic Charities Dioceses of Camden Inc,29,0,1,2,7,19,26,89.7
2020,12-NM-055,Goodwill Industries of New Mexico,Goodwill Industries of New Mexico,39,3,0,4,11,21,32,82.1
2020,12-NY-060,HELP Social Service Corporation,HELP Social Service Corporation,20,2,2,6,3,7,10,50.0
2020,12-NY-063,Westchester Community Opportunity Program Inc. (WestCOP),Westchester Community Opportunity Program Inc. (WestCOP),22,1,0,3,3,15,18,81.8
2020,12-OH-064,Mental Health Services for Homeless Persons Inc  dba  FrontLine Service ,Mental Health Services for Homeless Persons Inc  dba  FrontLine Service ,25,4,1,6,3,11,14,56.0
2020,12-TX-071,Families in Crisis Inc,Families in Crisis Inc,14,0,0,3,0,11,11,78.6
2020,12-TX-075,Catholic Charities Diocese of Fort Worth Inc.,Catholic Charities Diocese of Fort Worth Inc.,3,1,0,0,0,2,2,66.7
2020,12-VA-077,Virginia Supportive Housing,Virginia Supportive Housing,43,2,2,7,10,22,32,74.4
2020,12-ZZ-031,Humility of Mary Shelter Inc,Humility of Mary Shelter Inc,24,0,1,5,8,10,18,75.0
2020,12-ZZ-041,Veterans Inc,Veterans Inc,31,2,0,3,8,18,26,83.9
2020,13-CA-090,California Veterans Assistance Foundation Inc,California Veterans Assistance Foundation Inc,31,3,1,4,8,15,23,74.2
2020,13-CT-093,The Workplace Inc,The Workplace Inc,28,1,1,5,4,17,21,75.0
2020,13-DE-095,Connections Community Support Programs Inc.,Connections Community Support Programs Inc.,7,0,1,1,0,5,5,71.4
2020,13-FL-096,Faith Hope Love Charity Inc,Faith Hope Love Charity Inc,42,5,4,2,10,21,31,73.8
2020,13-IA-103,Primary Health Care Inc,Primary Health Care Inc,10,0,1,2,1,6,7,70.0
2020,13-IL-104,The Salvation Army an Illinois Corporation,The Salvation Army an Illinois Corporation,26,1,1,6,6,12,18,69.2
2020,13-IL-105,Heartland Human Care Services Inc,Heartland Human Care Services Inc,15,1,1,3,3,7,10,66.7
2020,13-IN-106,Community Action of Northeast Indiana Inc (dba Brightpoint) ,Community Action of Northeast Indiana Inc (dba Brightpoint) ,13,1,2,4,1,5,6,46.2
2020,13-MD-107,Three Oaks Homeless Shelter Inc,Three Oaks Homeless Shelter Inc,13,0,0,4,3,6,9,69.2
2020,13-MI-108,Northwest Michigan Community Action Agency Inc,Northwest Michigan Community Action Agency Inc,6,1,0,1,0,4,4,66.7
2020,13-MO-110,Catholic Charities of Kansas City - St Joseph Inc,Catholic Charities of Kansas City - St Joseph Inc,11,1,2,0,4,4,8,72.7
2020,13-NH-115,Harbor Homes Inc,Harbor Homes Inc,14,2,0,0,1,11,12,85.7
2020,13-NV-117,Vietnam Veterans of California Inc (Sacramento Veterans Resource),Vietnam Veterans of California Inc (Sacramento Veterans Resource),124,3,3,13,25,80,105,84.7
2020,13-NY-119,Catholic Charities of the Roman Catholic Diocese of Syracuse NY,Catholic Charities of the Roman Catholic Diocese of Syracuse NY,9,0,0,3,2,4,6,66.7
2020,13-NY-121,Soldier On of Delaware Inc,Soldier On of Delaware Inc,45,2,3,7,13,20,33,73.3
2020,13-OH-124,Maumee Valley Guidance Center Inc.,Maumee Valley Guidance Center Inc.,2,0,0,0,0,2,2,100.0
2020,13-OR-125,Community Action Team Inc,Community Action Team Inc,8,0,1,0,1,6,7,87.5
2020,13-OR-126,Central Oregon Veterans Outreach,Central Oregon Veterans Outreach,8,0,2,1,1,4,5,62.5
2020,13-PA-129,Veterans Leadership Program of Western Pennsylvania Inc,Veterans Leadership Program of Western Pennsylvania Inc,65,3,1,12,14,35,49,75.4
2020,13-TN-139,West Tennessee Legal Services Inc.,West Tennessee Legal Services Inc.,3,0,0,1,0,2,2,66.7
2020,13-WA-148,YWCA of Seattle - King County - Snohomish County,YWCA of Seattle - King County - Snohomish County,9,2,1,3,2,1,3,33.3
2020,13-ZZ-133,Operation Stand Down Rhode Island,Operation Stand Down Rhode Island,29,3,0,7,8,11,19,65.5
